종목코드,종목명,거래대금(억),현재가
005380,현대자동차,11112,367000
000720,현대건설,9206,91100
272210,한화시스템,5283,77700
307950,현대오토에버,2170,460000
462350,이노스페이스,1945,23650
101170,우림피티에스,1882,22050
012860,모베이스전자,1283,2590
006140,피제이전자,1041,9430
017960,한국카본,826,39700
464080,에스오에스랩,825,19000
099320,쎄트렉아이,803,130400
474170,루미르,799,13030
332570,PS일렉트로닉스,786,8810
105840,우진,741,21000
090710,휴림로봇,733,8310
010170,대한광통신,679,3095
001430,세아베스틸지주,619,68300
295310,에이치브이엠,535,77500
274090,켄코아에어로스페이스,306,21900
399720,가온칩스,285,63300
208370,셀바스헬스케어,280,6500
451760,컨텍,277,14360
003160,디아이,197,28800
027360,아주IB투자,194,3415
124500,아이티센글로벌,181,35900
190510,나무가,150,26350
032940,원익,99,13370
