종목코드,종목명,거래대금(억),시장,현재가
005380,현대자동차,10596,KOSPI,419500
022100,포스코DX,6620,KOSPI,38650
090710,휴림로봇,6284,KOSDAQ,11170
272210,한화시스템,5956,KOSPI,98100
000880,한화,4703,KOSPI,136000
005490,POSCO홀딩스,2757,KOSPI,352500
009520,포스코엠텍,2137,KOSDAQ,19780
000720,현대건설,1808,KOSPI,98100
059120,아진엑스텍,1597,KOSDAQ,16120
464080,에스오에스랩,1543,KOSDAQ,22300
452260,한화갤러리아,1354,KOSPI,2105
307950,현대오토에버,1260,KOSPI,488500
004310,현대약품,1211,KOSPI,10560
056080,유진로봇,1073,KOSDAQ,21500
015760,한국전력공사,1072,KOSPI,53700
348340,뉴로메카,1017,KOSDAQ,56000
098460,고영,909,KOSDAQ,28300
101170,우림피티에스,891,KOSDAQ,22550
049630,재영솔루텍,834,KOSDAQ,5370
024060,흥구석유,814,KOSDAQ,14750
462350,이노스페이스,746,KOSDAQ,22825
264850,이랜시스,603,KOSDAQ,7320
099320,쎄트렉아이,318,KOSDAQ,125500
317830,에스피시스템스,296,KOSDAQ,15100
190510,나무가,248,KOSDAQ,26900
232680,라온테크,229,KOSDAQ,15080
053700,삼보모터스,196,KOSDAQ,8140
451760,컨텍,191,KOSDAQ,14800
003160,디아이,176,KOSPI,29850
003310,대주산업,85,KOSDAQ,3305
