종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
066570,LG전자,유가,16832,16832
009830,한화솔루션,유가,22295,6872
032820,우리기술,코스닥,6850,6004
006910,보성파워텍,코스닥,5203,5203
139480,이마트,유가,2908,2908
241520,DSC인베스트먼트,코스닥,2819,2819
056080,유진로봇,코스닥,4459,2427
018880,한온시스템,유가,5711,2261
130660,한전산업,유가,2619,2195
000390,삼화페인트공업,유가,1918,1918
187660,현대ADM,코스닥,1816,1816
006800,미래에셋증권,유가,9515,1804
047040,대우건설,유가,3620,1687
267270,HD건설기계,유가,3318,1636
004310,현대약품,유가,3504,1265
451760,컨텍,코스닥,1396,1059
017670,SK텔레콤,유가,4121,964
352820,하이브,유가,4123,843
008830,대동기어,코스닥,4105,814
323410,카카오뱅크,유가,5538,808
080220,제주반도체,코스닥,7382,771
011700,한신기계공업,유가,1723,564
090430,아모레퍼시픽,유가,4029,429
094820,일진파워,코스닥,2150,383
452260,한화갤러리아,유가,3640,317
225190,LK삼양,코스닥,1911,305
417200,LS머트리얼즈,코스닥,1165,275
028050,삼성E&A,유가,1109,254
222080,씨아이에스,코스닥,1408,250
006220,제주은행,유가,2831,222
024060,흥구석유,코스닥,1782,190
417010,나노팀,코스닥,1455,150
009070,케이씨티시,유가,1423,148
011930,신성이엔지,유가,1450,104
